OBJECTID,CFSAUID,PRUID,PRNAME,ORIG_FID,NEAR_FID,NEAR_DIST
1,A0A,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,0,1,"11,534.660874888568000"
2,A0B,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1,1,"14,225.241942581712000"
3,A0C,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,2,1,"11,798.894126367662000"
4,A0E,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,3,1,"1,582.768574657177900"
5,A0G,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,4,1,"15,083.000380883987000"
6,A0H,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,5,1,"54,153.395175407866000"
7,A0J,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,6,1,0.000000000000000
8,A0K,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,7,1,"43,655.817772852977000"
9,A0L,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,8,1,"3,445.594247584870100"
10,A0M,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,9,1,"12,699.454675200985000"
11,A0N,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,10,1,"42,236.626554276503000"
12,A0P,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,11,1,"46,690.771979770572000"
13,A0R,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,12,1,"277,909.505112749060000"
14,A1A,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,13,1,"6,852.156254436276900"
15,A1B,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,14,1,"7,367.151855439684400"
16,A1C,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,15,1,"4,080.870119599077000"
17,A1E,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,16,1,"10,102.391684798145000"
18,A1G,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,17,1,"10,241.226616857026000"
19,A1H,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,18,1,"8,828.195019648037500"
20,A1K,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,19,1,"3,408.527403507009700"
21,A1L,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,20,1,"3,454.768742414869800"
22,A1M,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,21,1,"1,261.585655374684600"
23,A1N,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,22,1,"7,786.902698230197500"
24,A1S,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,23,1,"9,095.785623535068200"
25,A1V,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,24,1,"35,173.235413940216000"
26,A1W,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,25,1,"2,134.287075380755100"
27,A1X,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,26,1,"3,093.828697747170300"
28,A1Y,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,27,1,"4,338.937478789022000"
29,A2A,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,28,1,"21,040.479672039590000"
