"","id.x","name","pbw_cs","pbw_choice","pbw_choicenumeric","sweight","seq","task","sample","ocean_days","seafood_eat","demoone_gender","demoone_education","demotwo_livedCanada","envr_org","envr_protest","political_party","demothree_income","demothree_householdsize","demothree_age","distance_FSA","distance_FSAc","rec","jobs","jobs2","demothree_age_num"
"1",99910611,"English10611",10,"CoastalLivelihoods",6,1,1,1,"BC","lessthan5",52,"female","somepost","morethan20","no","no","CPC",9,5,"65plus",3157.23824346658,"<100km",1,"none","none",69.5
"3",99910611,"English10611",6,"CoastalLivelihoods",6,1,1,2,"BC","lessthan5",52,"female","somepost","morethan20","no","no","CPC",9,5,"65plus",3157.23824346658,"<100km",1,"none","none",69.5
"5",99910611,"English10611",3,"IconicPlacesandSpecies",8,1,1,3,"BC","lessthan5",52,"female","somepost","morethan20","no","no","CPC",9,5,"65plus",3157.23824346658,"<100km",1,"none","none",69.5
"7",99910611,"English10611",2,"Foodprovision",1,1,1,4,"BC","lessthan5",52,"female","somepost","morethan20","no","no","CPC",9,5,"65plus",3157.23824346658,"<100km",1,"none","none",69.5
"9",99910611,"English10611",4,"CoastalLivelihoods",6,1,1,5,"BC","lessthan5",52,"female","somepost","morethan20","no","no","CPC",9,5,"65plus",3157.23824346658,"<100km",1,"none","none",69.5
"11",99910611,"English10611",5,"CoastalLivelihoods",6,1,1,6,"BC","lessthan5",52,"female","somepost","morethan20","no","no","CPC",9,5,"65plus",3157.23824346658,"<100km",1,"none","none",69.5
"13",99910611,"English10611",1,"TourismandRecreation",7,1,1,7,"BC","lessthan5",52,"female","somepost","morethan20","no","no","CPC",9,5,"65plus",3157.23824346658,"<100km",1,"none","none",69.5
"15",99910611,"English10611",9,"TourismandRecreation",7,1,1,8,"BC","lessthan5",52,"female","somepost","morethan20","no","no","CPC",9,5,"65plus",3157.23824346658,"<100km",1,"none","none",69.5
"17",99910611,"English10611",8,"CoastalLivelihoods",6,1,1,9,"BC","lessthan5",52,"female","somepost","morethan20","no","no","CPC",9,5,"65plus",3157.23824346658,"<100km",1,"none","none",69.5
"19",99910611,"English10611",7,"TourismandRecreation",7,1,1,10,"BC","lessthan5",52,"female","somepost","morethan20","no","no","CPC",9,5,"65plus",3157.23824346658,"<100km",1,"none","none",69.5
