"","id.x","name","pbw_cs","pbw_choice","pbw_choicenumeric","sweight","seq","task","sample","ocean_days","seafood_eat","demoone_gender","demoone_education","demotwo_livedCanada","envr_org","envr_protest","political_party","demothree_income","demothree_householdsize","demothree_age","distance_FSA","distance_FSAc","rec","jobs","jobs2","demothree_age_num"
"2",99910611,"English10611",10,"Biodiversity",10,-1,2,1,"BC","lessthan5",52,"female","somepost","morethan20","no","no","CPC",9,5,"65plus",3157.23824346658,"<100km",1,"none","none",69.5
"4",99910611,"English10611",6,"AboriginalNeeds",2,-1,2,2,"BC","lessthan5",52,"female","somepost","morethan20","no","no","CPC",9,5,"65plus",3157.23824346658,"<100km",1,"none","none",69.5
"6",99910611,"English10611",3,"Biodiversity",10,-1,2,3,"BC","lessthan5",52,"female","somepost","morethan20","no","no","CPC",9,5,"65plus",3157.23824346658,"<100km",1,"none","none",69.5
"8",99910611,"English10611",2,"AboriginalNeeds",2,-1,2,4,"BC","lessthan5",52,"female","somepost","morethan20","no","no","CPC",9,5,"65plus",3157.23824346658,"<100km",1,"none","none",69.5
"10",99910611,"English10611",4,"AboriginalNeeds",2,-1,2,5,"BC","lessthan5",52,"female","somepost","morethan20","no","no","CPC",9,5,"65plus",3157.23824346658,"<100km",1,"none","none",69.5
"12",99910611,"English10611",5,"AboriginalNeeds",2,-1,2,6,"BC","lessthan5",52,"female","somepost","morethan20","no","no","CPC",9,5,"65plus",3157.23824346658,"<100km",1,"none","none",69.5
"14",99910611,"English10611",1,"Biodiversity",10,-1,2,7,"BC","lessthan5",52,"female","somepost","morethan20","no","no","CPC",9,5,"65plus",3157.23824346658,"<100km",1,"none","none",69.5
"16",99910611,"English10611",9,"AboriginalNeeds",2,-1,2,8,"BC","lessthan5",52,"female","somepost","morethan20","no","no","CPC",9,5,"65plus",3157.23824346658,"<100km",1,"none","none",69.5
"18",99910611,"English10611",8,"NonFoodProducts",3,-1,2,9,"BC","lessthan5",52,"female","somepost","morethan20","no","no","CPC",9,5,"65plus",3157.23824346658,"<100km",1,"none","none",69.5
"20",99910611,"English10611",7,"CarbonStorage",4,-1,2,10,"BC","lessthan5",52,"female","somepost","morethan20","no","no","CPC",9,5,"65plus",3157.23824346658,"<100km",1,"none","none",69.5
"22",99910612,"English10612",1,"NonFoodProducts",3,-1,2,1,"PR","none",36,"male","bachelors","morethan20","no","no","dontknow",5,6,"55to64",826565.907047568,">1000km",3,"none","none",59.5
"24",99910612,"English10612",8,"NonFoodProducts",3,-1,2,2,"PR","none",36,"male","bachelors","morethan20","no","no","dontknow",5,6,"55to64",826565.907047568,">1000km",3,"none","none",59.5
"26",99910612,"English10612",9,"NonFoodProducts",3,-1,2,3,"PR","none",36,"male","bachelors","morethan20","no","no","dontknow",5,6,"55to64",826565.907047568,">1000km",3,"none","none",59.5
"28",99910612,"English10612",4,"AboriginalNeeds",2,-1,2,4,"PR","none",36,"male","bachelors","morethan20","no","no","dontknow",5,6,"55to64",826565.907047568,">1000km",3,"none","none",59.5
"30",99910612,"English10612",2,"AboriginalNeeds",2,-1,2,5,"PR","none",36,"male","bachelors","morethan20","no","no","dontknow",5,6,"55to64",826565.907047568,">1000km",3,"none","none",59.5
"32",99910612,"English10612",10,"TourismandRecreation",7,-1,2,6,"PR","none",36,"male","bachelors","morethan20","no","no","dontknow",5,6,"55to64",826565.907047568,">1000km",3,"none","none",59.5
"34",99910612,"English10612",3,"NonFoodProducts",3,-1,2,7,"PR","none",36,"male","bachelors","morethan20","no","no","dontknow",5,6,"55to64",826565.907047568,">1000km",3,"none","none",59.5
"36",99910612,"English10612",7,"TourismandRecreation",7,-1,2,8,"PR","none",36,"male","bachelors","morethan20","no","no","dontknow",5,6,"55to64",826565.907047568,">1000km",3,"none","none",59.5
