id,name,pbw_cs,pbw_choice,pbw_choicenumeric,sweight,seq,task
99910611,English10611,10,CoastalLivelihoods,6,1,1,1
99910611,English10611,10,Biodiversity,10,-1,2,1
99910611,English10611,6,CoastalLivelihoods,6,1,1,2
99910611,English10611,6,AboriginalNeeds,2,-1,2,2
99910611,English10611,3,IconicPlacesandSpecies,8,1,1,3
99910611,English10611,3,Biodiversity,10,-1,2,3
99910611,English10611,2,Foodprovision,1,1,1,4
99910611,English10611,2,AboriginalNeeds,2,-1,2,4
99910611,English10611,4,CoastalLivelihoods,6,1,1,5
99910611,English10611,4,AboriginalNeeds,2,-1,2,5
99910611,English10611,5,CoastalLivelihoods,6,1,1,6
99910611,English10611,5,AboriginalNeeds,2,-1,2,6
99910611,English10611,1,TourismandRecreation,7,1,1,7
99910611,English10611,1,Biodiversity,10,-1,2,7
99910611,English10611,9,TourismandRecreation,7,1,1,8
99910611,English10611,9,AboriginalNeeds,2,-1,2,8
99910611,English10611,8,CoastalLivelihoods,6,1,1,9
99910611,English10611,8,NonFoodProducts,3,-1,2,9
99910611,English10611,7,TourismandRecreation,7,1,1,10
99910611,English10611,7,CarbonStorage,4,-1,2,10
99910612,English10612,1,CoastalProtection,5,1,1,1
99910612,English10612,1,NonFoodProducts,3,-1,2,1
99910612,English10612,8,CleanWaters,9,1,1,2
99910612,English10612,8,NonFoodProducts,3,-1,2,2
99910612,English10612,9,CleanWaters,9,1,1,3
99910612,English10612,9,NonFoodProducts,3,-1,2,3
99910612,English10612,4,CoastalLivelihoods,6,1,1,4
99910612,English10612,4,AboriginalNeeds,2,-1,2,4
99910612,English10612,2,CleanWaters,9,1,1,5
99910612,English10612,2,AboriginalNeeds,2,-1,2,5
99910612,English10612,10,CoastalLivelihoods,6,1,1,6
99910612,English10612,10,TourismandRecreation,7,-1,2,6
99910612,English10612,3,CoastalProtection,5,1,1,7
99910612,English10612,3,NonFoodProducts,3,-1,2,7
99910612,English10612,7,CleanWaters,9,1,1,8
99910612,English10612,7,TourismandRecreation,7,-1,2,8
99910612,English10612,6,CoastalLivelihoods,6,1,1,9
99910612,English10612,6,NonFoodProducts,3,-1,2,9
99910612,English10612,5,CleanWaters,9,1,1,10
99910612,English10612,5,AboriginalNeeds,2,-1,2,10
99910613,English10613,8,CleanWaters,9,1,1,1
99910613,English10613,8,NonFoodProducts,3,-1,2,1
99910613,English10613,2,CleanWaters,9,1,1,2
99910613,English10613,2,AboriginalNeeds,2,-1,2,2
99910613,English10613,6,CoastalLivelihoods,6,1,1,3
99910613,English10613,6,AboriginalNeeds,2,-1,2,3
99910613,English10613,9,CarbonStorage,4,1,1,4
99910613,English10613,9,AboriginalNeeds,2,-1,2,4
99910613,English10613,4,Foodprovision,1,1,1,5
99910613,English10613,4,AboriginalNeeds,2,-1,2,5
99910613,English10613,5,CleanWaters,9,1,1,6
99910613,English10613,5,AboriginalNeeds,2,-1,2,6
99910613,English10613,10,Biodiversity,10,1,1,7
99910613,English10613,10,TourismandRecreation,7,-1,2,7
99910613,English10613,3,CarbonStorage,4,1,1,8
99910613,English10613,3,NonFoodProducts,3,-1,2,8
99910613,English10613,7,CarbonStorage,4,1,1,9
99910613,English10613,7,TourismandRecreation,7,-1,2,9
99910613,English10613,1,Biodiversity,10,1,1,10
99910613,English10613,1,NonFoodProducts,3,-1,2,10
99910615,English10615,7,CleanWaters,9,1,1,1
99910615,English10615,7,TourismandRecreation,7,-1,2,1
99910615,English10615,9,CleanWaters,9,1,1,2
99910615,English10615,9,TourismandRecreation,7,-1,2,2
99910615,English10615,3,CoastalProtection,5,1,1,3
99910615,English10615,3,NonFoodProducts,3,-1,2,3
99910615,English10615,5,CleanWaters,9,1,1,4
99910615,English10615,5,AboriginalNeeds,2,-1,2,4
99910615,English10615,10,CarbonStorage,4,1,1,5
99910615,English10615,10,TourismandRecreation,7,-1,2,5
99910615,English10615,4,CoastalProtection,5,1,1,6
99910615,English10615,4,AboriginalNeeds,2,-1,2,6
99910615,English10615,6,IconicPlacesandSpecies,8,1,1,7
99910615,English10615,6,TourismandRecreation,7,-1,2,7
99910615,English10615,1,CoastalProtection,5,1,1,8
99910615,English10615,1,TourismandRecreation,7,-1,2,8
