"","sample","subsid","pid","name","id","completed","user_last_section","ip","date","time_in","time_out","user_browser","user_setid_dce1","user_language","user_combo","IMP_Order","DCE_pg1","DCE_least1","DCE_most1","DCE_pg2","DCE_least2","DCE_most2","DCE_pg3","DCE_least3","DCE_most3","DCE_pg4","DCE_least4","DCE_most4","DCE_pg5","DCE_least5","DCE_most5","DCE_pg6","DCE_least6","DCE_most6","DCE_pg7","DCE_least7","DCE_most7","DCE_pg8","DCE_least8","DCE_most8","DCE_pg9","DCE_least9","DCE_most9","DCE_pg10","DCE_least10","DCE_most10","DCEclick_1","DCEclick_2","DCEclick_3","DCEclick_4","DCEclick_5","DCEclick_6","DCEclick_7","DCEclick_8","DCEclick_9","DCEclick_10","ocean_days","rec_swim","rec_boat","rec_surf","rec_scuba","rec_powerboat","rec_recfish","rec_sightsee","rec_none","rec_other","rec_specify","jobs_comfish","jobs_aquaculture","jobs_firstnations","jobs_tourism","jobs_transport","jobs_port","jobs_govt","jobs_none","jobs_other","jobs_specify","seafood_eat","foodprovision_general","foodprovision_xx","aboriginalneeds_general","aboriginalneeds_xx","nonfood_general","nonfood_xx","carbonstorage_general","carbonstorage_xx","coastalprotection_general","coastalprotection_xx","coastallivelihood_general","coastallivelihood_xx","tourismrec_general","tourismrec_xx","icons_general","icons_xx","cleanwater_general","cleanwater_xx","biodiversity_general","biodiversity_xx","demoone_gender","demoone_education","demotwo_livedCanada","demotwo_fsa","envr_org","envr_protest","political_party","demothree_income","demothree_householdsize","demothree_age","comments"
"3","BC","410066742",NA,"English10611",10611,"y","hco_thankyou.php",NA,"04/03/2014","23:04:45","23:15:38","Mozilla/5.0 (iPad; CPU OS 7_0_6 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B651 Safari/9537.53",NA,"English",3,54321,10,10,6,6,2,6,3,10,8,2,2,1,4,2,6,5,2,6,1,10,7,9,2,7,8,3,6,7,4,7,"","","","","","","","","","checked","lessthan5",NA,NA,NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",3,NA,1,NA,3,NA,3,NA,3,NA,3,NA,4,NA,3,NA,4,NA,2,NA,"female","somepost","morethan20","V3x","no","no","CPC",9,"2","65plus",""
"4","PR","410086579",NA,"English10612",10612,"y","hco_thankyou.php",NA,"04/03/2014","23:05:09","23:12:25","Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)",NA,"English",4,12345,1,3,5,8,3,9,9,3,9,4,2,6,2,2,9,10,7,6,3,3,5,7,7,9,6,3,6,5,2,9,"","","","","","","","","","","none",1,NA,NA,NA,1,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",5,NA,4,NA,3,NA,5,NA,5,NA,5,NA,4,NA,5,NA,5,NA,5,NA,"male","bachelors","morethan20","R3L","no","no","dontknow",5,"3","55to64","No thanks."
"5","BC","410050536",NA,"English10613",10613,"y","hco_thankyou.php",NA,"04/03/2014","23:06:48","23:13:36","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",NA,"English",5,54321,8,3,9,2,2,9,6,2,6,9,2,4,4,2,1,5,2,9,10,7,10,3,3,4,7,7,4,1,3,10,"","","","","","","","","","","30to49",1,NA,NA,1,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,"","atleast1wk",5,NA,3,NA,4,NA,5,NA,5,NA,5,NA,4,NA,5,NA,5,NA,5,NA,"male","bachelors","morethan20","V9N","no","yes","liberal",7,"2","55to64",""
"7","BC","410250110",NA,"English10615",10615,"y","hco_thankyou.php",NA,"04/03/2014","23:07:11","23:17:28","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.74.9 (KHTML, like Gecko) Version/7.0.2 Safari/537.74.9",NA,"English",7,54321,7,7,9,9,7,9,3,3,5,5,2,9,10,7,4,4,2,5,6,7,8,1,7,5,8,3,9,2,2,9,"","","","","","","","","","","50to100",1,NA,NA,NA,1,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",5,NA,3,NA,4,NA,5,NA,5,NA,3,NA,3,NA,5,NA,5,NA,5,NA,"male","bachelors","morethan20","V6N","yes","yes","dontknow",9,"1","65plus","Interesting survey much better than most."
"8","BC","410057962",NA,"English10616",10616,"y","hco_thankyou.php",NA,"04/03/2014","23:07:21","23:18:02","Mozilla/5.0 (Windows NT 5.1; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"English",8,12345,5,2,5,8,3,1,9,2,9,7,7,9,2,2,9,4,2,1,1,3,1,10,7,1,3,3,5,6,2,6,"","","","","","","","","","","lessthan5",1,1,1,NA,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",4,NA,3,NA,4,NA,4,NA,4,NA,4,NA,3,NA,3,NA,4,NA,4,NA,"male","graduate","morethan20","v6p","no","no","CPC",9,"4","35to44",""
"9","BC","410140209",NA,"English10617",10617,"y","hco_thankyou.php",NA,"04/03/2014","23:08:14","23:17:30","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",NA,"English",9,54321,4,5,4,10,10,4,9,9,3,7,9,7,8,9,3,3,10,3,1,10,3,2,9,2,5,9,2,6,6,3,"","","","","","","","","","","30to49",NA,NA,NA,NA,NA,NA,1,NA,NA,"hiking & biking",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",3,NA,3,NA,3,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,"male","HS","morethan20","V 3X","","no","CPC",4,"2","55to64",""
"10","BC","410273426",NA,"English10618",10618,"y","hco_thankyou.php",NA,"04/03/2014","23:08:43","23:17:10","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C; BRI/1)",NA,"English",10,12345,3,3,5,1,3,5,5,2,5,4,1,5,6,3,6,2,2,10,10,7,4,7,7,5,9,3,9,8,1,9,"","","checked","","checked","checked","","","checked","","30to49",NA,NA,NA,NA,NA,NA,NA,NA,1,"Seaside walks",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",4,NA,4,NA,4,NA,4,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,"female","graduate","morethan20","V8L","yes","yes","green",3,"1","65plus",""
"11","BC","410065286",NA,"English10619",10619,"y","hco_thankyou.php",NA,"04/03/2014","23:08:58","23:19:16","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"English",11,54321,4,2,5,9,2,9,2,2,8,5,2,5,1,1,5,8,1,3,7,7,5,10,4,7,3,4,5,6,2,8,"","","","","","","","","","","morethan100",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","Never",1,NA,1,NA,3,NA,3,NA,4,NA,1,NA,3,NA,4,NA,4,NA,4,NA,"male","HS","morethan20","V0R","no","no","CPC",4,"2","65plus",""
"12","ON","410185371",NA,"English10620",10620,"y","hco_thankyou.php",NA,"04/03/2014","23:09:09","23:27:44","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.74.9 (KHTML, like Gecko) Version/6.1.2 Safari/537.74.9",NA,"English",12,12345,9,3,9,5,10,9,6,3,6,10,4,1,2,10,9,3,3,8,1,7,1,4,4,1,8,3,9,7,4,8,"","","","","","","","","","","5to9",1,NA,NA,1,1,NA,1,NA,NA,"",NA,NA,NA,1,NA,NA,NA,NA,NA,"","atleast1wk",5,NA,5,NA,5,NA,4,NA,5,NA,5,NA,4,NA,5,NA,5,NA,5,NA,"male","bachelors","morethan20","M2R","no","no","green",7,"3","45to54",""
"13","BC","410273558",NA,"English10621",10621,"y","hco_comments.php",NA,"04/03/2014","23:10:52","23:28:27","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.77 Safari/537.36",NA,"English",13,54321,6,8,6,4,4,6,8,8,9,7,8,5,9,4,7,5,10,5,3,8,5,10,10,7,2,10,1,1,10,7,"","","","","","","","","","","none",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3to6yr",5,NA,4,NA,4,NA,3,NA,4,NA,4,NA,4,NA,4,NA,3,NA,4,NA,"male","elementary","morethan20","V1Z","no","no","liberal",3,"2","65plus",""
"14","ON","410312743",NA,"English10622",10622,"y","hco_thankyou.php",NA,"04/03/2014","23:11:10","23:16:40","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",NA,"English",14,12345,6,3,6,10,7,1,1,3,1,3,3,10,4,2,1,9,3,9,2,8,9,8,3,1,5,2,9,7,8,9,"","","","","","","","","","","lessthan5",1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",4,NA,3,NA,5,NA,5,NA,5,NA,NA,NA,4,NA,5,NA,5,NA,5,NA,"female","bachelors","11to20","k0g","no","no","green",6,"3","45to54",""
"15","PR","410263251",NA,"English10623",10623,"y","hco_thankyou.php",NA,"04/03/2014","23:11:48","23:22:33","Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25",NA,"English",15,54321,8,8,6,7,8,5,2,2,1,5,2,6,6,3,6,3,3,5,9,2,9,10,4,6,4,2,6,1,3,1,"","","","","","","","","","","none",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,4,NA,"female","bachelors","morethan20","R2h","no","yes","liberal",4,"1","55to64",""
"16","PR","410035867",NA,"English10624",10624,"y","hco_thankyou.php",NA,"04/03/2014","23:12:18","23:19:28","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",NA,"English",16,12345,9,2,9,6,2,6,1,3,5,5,2,6,7,4,9,8,3,6,4,2,6,10,4,7,3,3,5,2,2,9,"","","","","","","","","","","none",1,NA,NA,NA,1,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","atleast1wk",5,NA,3,NA,4,NA,5,NA,4,NA,5,NA,5,NA,4,NA,5,NA,5,NA,"male","bachelors","morethan20","R2P","no","yes","NDP",6,"2","55to64",""
"17","PR","410133967",NA,"English10625",10625,"y","hco_thankyou.php",NA,"04/03/2014","23:12:33","23:26:31","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.5; rv:16.0) Gecko/20100101 Firefox/16.0",NA,"English",17,54321,6,2,6,4,2,1,10,7,6,9,2,9,5,2,9,2,2,8,8,3,9,3,3,5,7,7,9,1,3,10,"","","","","","","","","","","50to100",1,NA,NA,NA,1,1,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",4,NA,2,NA,3,NA,4,NA,5,NA,5,NA,4,NA,5,NA,5,NA,5,NA,"female","bachelors","morethan20","T2R","no","no","CPC",4,"1","55to64",""
"18","PR","410127894",NA,"English10626",10626,"y","hco_thankyou.php",NA,"04/03/2014","23:13:51","23:23:41","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"English",18,12345,7,7,9,10,7,4,1,1,5,5,2,9,6,3,8,9,3,9,2,2,9,8,3,9,4,2,5,3,3,8,"","","","","","","","","","","none",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",3,NA,1,NA,1,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,"female","somepost","morethan20","T6M","no","no","green",7,"3","25to34",""
"19","BC","410187233",NA,"English10627",10627,"y","hco_thankyou.php",NA,"04/03/2014","23:13:56","23:26:33","Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",NA,"English",19,54321,10,7,6,2,2,9,4,2,5,3,3,5,5,2,9,8,8,9,9,7,9,6,2,6,1,7,10,7,7,9,"","","","","checked","","","checked","","checked","lessthan5",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",5,NA,3,NA,4,NA,5,NA,5,NA,4,NA,3,NA,5,NA,5,NA,5,NA,"female","college","morethan20","V1H","no","dontknow","noparty",9,"2","65plus",""
