"X" "sample" "subsid" "pid" "name" "id" "complete" "user_las" "ip" "date" "time_in" "time_out" "user_bro" "user_set" "user_lan" "user_com" "IMP_Orde" "DCE_pg1" "DCE_leas" "DCE_most" "DCE_pg2" "DCE_leas" "DCE_most" "DCE_pg3" "DCE_leas" "DCE_most" "DCE_pg4" "DCE_leas" "DCE_most" "DCE_pg5" "DCE_leas" "DCE_most" "DCE_pg6" "DCE_leas" "DCE_most" "DCE_pg7" "DCE_leas" "DCE_most" "DCE_pg8" "DCE_leas" "DCE_most" "DCE_pg9" "DCE_leas" "DCE_most" "DCE_pg10" "DCE_leas" "DCE_most" "DCEclick" "DCEclick" "DCEclick" "DCEclick" "DCEclick" "DCEclick" "DCEclick" "DCEclick" "DCEclick" "DCEclick" "ocean_da" "rec_swim" "rec_boat" "rec_surf" "rec_scub" "rec_powe" "rec_recf" "rec_sigh" "rec_none" "rec_othe" "rec_spec" "jobs_com" "jobs_aqu" "jobs_fir" "jobs_tou" "jobs_tra" "jobs_por" "jobs_gov" "jobs_non" "jobs_oth" "jobs_spe" "seafood_" "foodprov" "foodprov" "aborigin" "aborigin" "nonfood_" "nonfood_" "carbonst" "carbonst" "coastalp" "coastalp" "coastall" "coastall" "tourismr" "tourismr" "icons_ge" "icons_xx" "cleanwat" "cleanwat" "biodiver" "biodiver" "demoone_" "demoone_" "demotwo_" "demotwo_" "envr_org" "envr_pro" "politica" "demothre" "demothre" "demothre" "comments"
"1" 5 "BC subsample" 410052991 "" "English19" 19 "y" "hco_thankyou.php" "" "05/03/2014" "17:17:28" "17:49:47" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0" "" "English" 2004 54321 9 2 9 5 2 9 6 2 8 10 6 10 2 2 9 3 3 10 1 3 5 4 2 5 7 7 9 8 3 9 "" "" "" "" "" "" "" "" "" "" "morethan100" "1" "" "" "" "1" "1" "1" "" "" "" "" "" "" "" "" "" "" "1" "" "" "atleast1wk" "5" "" "2" "" "3" "" "4" "" "5" "" "3" "" "5" "" "5" "" "5" "" "5" "" "male" "graduate" "morethan20" "V0N" "no" "no" "CPC" "4" "2" "65plus" ""
"2" 6 "BC subsample" 410061724 "" "English20" 20 "y" "hco_thankyou.php" "" "05/03/2014" "17:18:11" "17:26:03" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; BTRS123001; GTB7.5; InfoPath.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C; .NET4.0E; OfficeLiveConnector.1.5; OfficeLivePatch.1.3; BRI/2; BOI" "" "English" 2005 12345 6 7 6 4 2 1 7 7 9 9 2 9 3 3 10 10 7 1 2 2 1 5 2 9 8 3 1 1 7 1 "" "" "" "" "" "" "" "" "" "" "10to29" "1" "" "" "1" "" "" "1" "" "" "" "" "" "" "" "" "" "" "1" "" "" "3month" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "4" "" "5" "" "5" "" "5" "" "female" "somepost" "morethan20" "V2C" "yes" "no" "green" "5" "2" "65plus" ""
"3" 8 "BC subsample" 410067261 "" "English22" 22 "y" "hco_thankyou.php" "" "05/03/2014" "17:19:58" "17:26:45" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "" "English" 2007 12345 8 9 1 7 4 7 2 2 1 5 2 6 3 4 3 10 4 1 1 5 1 6 2 6 9 2 3 4 2 1 "" "checked" "" "" "" "" "" "" "" "" "50to100" "" "" "" "" "1" "1" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "3month" "5" "" "1" "" "4" "" "3" "" "4" "" "4" "" "5" "" "5" "" "4" "" "4" "" "male" "HS" "morethan20" "v9b" "no" "no" "NDP" "4" "1" "55to64" ""
"4" 9 "BC subsample" 410018107 "" "English23" 23 "y" "hco_thankyou.php" "" "05/03/2014" "17:21:55" "17:27:57" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0" "" "English" 2008 54321 9 3 9 3 3 5 8 3 8 5 2 5 6 3 8 1 3 5 7 7 9 10 7 4 4 2 4 2 2 9 "" "" "" "" "" "" "" "" "" "" "none" "" "1" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "3month" "3" "" "3" "" "5" "" "4" "" "5" "" "4" "" "3" "" "5" "" "5" "" "4" "" "female" "bachelors" "morethan20" "V5R" "no" "no" "dontknow" "4" "7" "25to34" ""
"5" 11 "BC subsample" 410194365 "" "English25" 25 "y" "hco_thankyou.php" "" "05/03/2014" "17:23:51" "17:33:09" "Mozilla/5.0 (iPad; CPU OS 7_0_6 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B651 Safari/9537.53" "" "English" 2010 54321 9 7 9 5 2 5 4 2 5 2 2 9 8 3 9 3 3 5 6 7 6 10 7 6 7 7 9 1 7 5 "" "" "" "" "" "" "" "" "" "" "10to29" "1" "1" "" "1" "" "1" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "atleast1wk" "5" "" "4" "" "4" "" "5" "" "5" "" "4" "" "4" "" "5" "" "5" "" "5" "" "male" "somepost" "morethan20" "V1V" "no" "no" "noparty" "6" "4" "65plus" ""
"6" 12 "BC subsample" 410195914 "" "English26" 26 "y" "hco_thankyou.php" "" "05/03/2014" "17:24:03" "17:34:22" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "" "English" 2011 12345 7 7 9 2 2 9 5 2 9 4 6 5 6 3 8 1 7 5 8 6 9 10 7 4 3 3 8 9 7 9 "" "" "" "" "" "" "" "" "" "" "10to29" "" "" "" "" "" "" "" "" "" "cruising on cruise ship" "" "" "" "" "" "" "" "1" "" "" "7to11yr" "4" "" "3" "" "3" "" "3" "" "4" "" "3" "" "3" "" "4" "" "5" "" "4" "" "female" "HS" "morethan20" "v1j" "no" "no" "noresponse" "2" "3" "55to64" ""
"7" 13 "BC subsample" 410272395 "" "English27" 27 "y" "hco_thankyou.php" "" "05/03/2014" "17:25:25" "18:03:59" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "" "English" 2012 54321 2 2 9 8 3 9 9 2 4 3 3 4 4 2 4 7 7 9 5 2 10 1 3 10 6 2 8 10 7 10 "" "" "" "" "" "" "" "" "" "" "10to29" "" "" "" "" "1" "1" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "atleast1wk" "5" "" "1" "" "5" "" "5" "" "5" "" "4" "" "5" "" "5" "" "5" "" "5" "" "male" "bachelors" "morethan20" "V3B" "yes" "no" "green" "8" "2" "45to54" ""
"8" 14 "BC subsample" 410106445 "" "English28" 28 "y" "hco_thankyou.php" "" "05/03/2014" "17:26:10" "17:37:59" "Mozilla/5.0 (Windows NT 5.1; rv:27.0) Gecko/20100101 Firefox/27.0" "" "English" 2013 12345 9 3 7 7 7 9 1 3 1 10 7 1 2 2 9 8 6 9 6 3 6 3 3 5 5 2 9 4 2 1 "" "" "" "" "" "" "" "" "" "" "10to29" "" "" "" "" "1" "1" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "1to2month" "3" "" "4" "" "2" "" "4" "" "5" "" "4" "" "5" "" "5" "" "5" "" "4" "" "male" "somepost" "morethan20" "v9l" "no" "no" "green" "3" "2" "65plus" ""
"9" 16 "BC subsample" 410109346 "" "English31" 31 "y" "hco_comments.php" "" "05/03/2014" "17:27:12" "17:34:36" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0" "" "English" 2016 54321 7 7 9 10 7 10 1 7 1 4 4 1 6 2 8 3 5 10 9 7 9 5 2 10 8 6 1 2 2 8 "" "" "" "" "" "" "" "" "" "" "5to9" "1" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "3month" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "4" "" "male" "somepost" "morethan20" "" "no" "no" "liberal" "4" "" "65plus" ""
"10" 17 "BC subsample" 410094738 "" "English30" 30 "y" "hco_thankyou.php" "" "05/03/2014" "17:26:48" "17:34:11" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "" "English" 2015 12345 5 2 9 8 3 9 2 2 9 6 2 6 3 3 5 9 2 9 1 3 5 10 4 6 7 4 9 4 2 6 "" "" "" "" "" "" "" "" "" "" "30to49" "" "" "" "" "" "" "" "" "" "suntanning" "" "" "" "" "" "" "" "1" "" "" "7to11yr" "3" "" "3" "" "3" "" "3" "" "3" "" "3" "" "3" "" "3" "" "3" "" "3" "" "male" "bachelors" "morethan20" "V8R" "no" "no" "noresponse" "3" "1" "35to44" ""
