sample,subsid,pid,name,id,completed,user_last_section,ip,date,time_in,time_out,user_browser,user_setid_dce1,user_language,user_combo,IMP_Order,DCE_pg1,DCE_least1,DCE_most1,DCE_pg2,DCE_least2,DCE_most2,DCE_pg3,DCE_least3,DCE_most3,DCE_pg4,DCE_least4,DCE_most4,DCE_pg5,DCE_least5,DCE_most5,DCE_pg6,DCE_least6,DCE_most6,DCE_pg7,DCE_least7,DCE_most7,DCE_pg8,DCE_least8,DCE_most8,DCE_pg9,DCE_least9,DCE_most9,DCE_pg10,DCE_least10,DCE_most10,DCEclick_1,DCEclick_2,DCEclick_3,DCEclick_4,DCEclick_5,DCEclick_6,DCEclick_7,DCEclick_8,DCEclick_9,DCEclick_10,ocean_days,rec_swim,rec_boat,rec_surf,rec_scuba,rec_powerboat,rec_recfish,rec_sightsee,rec_none,rec_other,rec_specify,jobs_comfish,jobs_aquaculture,jobs_firstnations,jobs_tourism,jobs_transport,jobs_port,jobs_govt,jobs_none,jobs_other,jobs_specify,seafood_eat,foodprovision_general,foodprovision_xx,aboriginalneeds_general,aboriginalneeds_xx,nonfood_general,nonfood_xx,carbonstorage_general,carbonstorage_xx,coastalprotection_general,coastalprotection_xx,coastallivelihood_general,coastallivelihood_xx,tourismrec_general,tourismrec_xx,icons_general,icons_xx,cleanwater_general,cleanwater_xx,biodiversity_general,biodiversity_xx,demoone_gender,demoone_education,demotwo_livedCanada,demotwo_fsa,envr_org,envr_protest,political_party,demothree_income,demothree_householdsize,demothree_age,comments
ON,410093672,,FRENCH10552,10552,,hco_intro.php,,04/03/2014,21:59:01,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),,FRENCH,1000,12345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ON,410097329,,FRENCH10553,10553,,hco_intro.php,,04/03/2014,22:18:25,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),,FRENCH,1001,54321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QC,410057654,,FRENCH10554,10554,y,hco_thankyou.php,,04/03/2014,22:27:27,22:34:47,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0; BOIE9;FRCA),,FRENCH,1002,12345,9,7,4,2,1,8,3,3,8,7,7,9,10,7,4,5,6,5,8,3,8,6,7,8,1,3,5,4,1,4,,,,,,,,,,,none,,,,,,,,1,,,,,,,,,,1,,,7to11yr,5,,4,,5,,5,,5,,3,,3,,5,,5,,5,,female,HS,,G0W,dontknow,yes,noparty,1,1,55to64,
QC,410338436,,FRENCH10555,10555,y,hco_thankyou.php,,04/03/2014,22:34:27,22:41:42,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,,FRENCH,1003,54321,4,2,4,5,2,9,2,2,9,1,7,5,8,3,9,3,3,5,10,7,4,9,2,9,6,2,8,7,7,9,,,,,,,,,,,10to29,,,,,,,,,1,Croisière,,,,,,,,1,,,7to11yr,5,,5,,3,,5,,5,,4,,4,,5,,5,,5,,male,HS,morethan20,J9X,no,no,dontknow,9,2,45to54,Protégez notre environnement bleu est très important aujourd'hui et pour les années à venir.
QC,410290469,,FRENCH10556,10556,y,hco_thankyou.php,,04/03/2014,22:38:05,22:48:08,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.74.9 (KHTML, like Gecko) Version/6.1.2 Safari/537.74.9",,FRENCH,1004,12345,5,6,9,4,6,4,6,7,8,8,6,9,2,1,9,10,7,4,9,3,9,1,3,10,7,7,9,3,3,10,,,,,,,,,,,lessthan5,,,,,1,1,,,,,,,,,,,,1,,,3month,5,,5,,4,,4,,4,,5,,5,,5,,5,,5,,female,graduate,6to10,J3L3P9,no,dontknow,noparty,9,2,35to44,
QC,410338883,,FRENCH10557,10557,y,hco_thankyou.php,,04/03/2014,22:38:22,22:48:46,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",,FRENCH,1005,54321,7,8,4,6,2,6,1,3,1,5,2,6,10,7,1,2,2,1,3,3,4,4,2,6,9,2,4,8,8,6,,,,,,,checked,,,,5to9,1,,,,,,,,,,,,,,,,,1,,,atleast1wk,5,,2,,3,,5,,4,,4,,3,,3,,4,,4,,male,graduate,morethan20,J3G,no,no,liberal,8,2,65plus,
QC,410022398,,FRENCH10558,10558,y,hco_thankyou.php,,04/03/2014,22:38:38,22:49:26,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",,FRENCH,1006,12345,7,5,9,8,8,9,5,2,9,4,2,1,1,7,1,3,5,4,6,8,6,9,7,9,10,7,1,2,8,1,,,,,,,,,checked,,none,,,,,,,,1,,,,,,,,,,1,,,7to11yr,4,,3,,4,,4,,4,,4,,3,,4,,5,,5,,male,HS,morethan20,j0k,no,no,NDP,2,2,65plus,
QC,410341394,,FRENCH10559,10559,y,hco_thankyou.php,,04/03/2014,22:40:56,22:53:30,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; NP06; EIE10;ENUSWOL; rv:11.0) like Gecko,,FRENCH,1007,54321,2,2,9,8,6,9,4,2,5,7,4,5,5,2,10,6,2,3,10,4,10,9,2,9,3,4,10,1,3,10,,,,,,,,,,,30to49,1,1,,,1,,1,,,,,,,,,,,1,,,atleast1wk,5,,3,,3,,5,,5,,4,,5,,5,,5,,5,,female,bachelors,morethan20,g2g,yes,yes,NDP,4,1,55to64,"J'espère que le gouvernement canadien sera plus sensible à la santé des milieux marins et océaniques. c'est important pour les générations futures et pour la planète. Au Canada, c'est un luxe d'être entouré de 3 océans...en plus, j'ai la chance de vivre en bordure du Saint-Laurent pollué par les déchets industriels sans compter la source les fabuleux Grands Lacs!!! C'est un dossier urgent!"
QC,410021865,,FRENCH10560,10560,y,hco_thankyou.php,,04/03/2014,22:40:58,22:45:59,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0,,FRENCH,1008,12345,1,7,1,3,4,8,6,7,8,9,7,9,2,2,9,7,7,9,8,6,9,5,6,9,10,7,1,4,2,1,,,,,,,,,,,5to9,1,,,,1,1,,,,,,,1,,,,,,,,1to2month,4,,3,,4,,4,,4,,4,,3,,4,,5,,4,,male,bachelors,morethan20,J0L,no,no,Bloc,5,3,45to54,
QC,410179756,,FRENCH10561,10561,y,hco_thankyou.php,,04/03/2014,22:42:54,22:51:09,"Mozilla/5.0 (iPad; CPU OS 7_0_6 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B651 Safari/9537.53",,FRENCH,1009,54321,7,4,9,10,4,6,1,3,5,9,2,9,4,4,6,6,2,6,3,4,5,2,2,9,5,2,9,8,3,9,,,,,,,,,,,5to9,,,,,1,,,,,,,,,,,,,1,,,1to2month,4,,2,,3,,3,,5,,5,,4,,4,,5,,5,,male,bachelors,morethan20,J3y,no,no,noparty,5,4,45to54,
