"","ID","Set","Choice","FoodProvision","AboriginalNeeds","NaturalProducts","CarbonStorage","CoastalProtection","CoastalLivelihoods","TourismRecreation","IconicPlacesSPecies","CleanWaters","Biodiversity"
"1",1,1,0,1,0,0,0,0,0,0,0,0,0
"2",1,1,0,0,0,1,0,0,0,0,0,0,0
"3",1,1,0,0,0,0,0,1,0,0,0,0,0
"4",1,1,1,0,0,0,0,0,0,1,0,0,0
"5",1,1,0,0,0,0,0,0,0,0,0,0,1
"6",1,2,0,-1,0,0,0,0,0,0,0,0,0
"7",1,2,1,0,0,-1,0,0,0,0,0,0,0
"8",1,2,0,0,0,0,0,-1,0,0,0,0,0
"9",1,2,0,0,0,0,0,0,0,-1,0,0,0
"10",1,2,0,0,0,0,0,0,0,0,0,0,-1
"11",1,3,0,1,0,0,0,0,0,0,0,0,0
"12",1,3,0,0,1,0,0,0,0,0,0,0,0
"13",1,3,0,0,0,0,0,0,0,0,1,0,0
"14",1,3,0,0,0,0,0,0,0,0,0,1,0
"15",1,3,1,0,0,0,0,0,0,0,0,0,1
"16",1,4,0,-1,0,0,0,0,0,0,0,0,0
"17",1,4,0,0,-1,0,0,0,0,0,0,0,0
"18",1,4,1,0,0,0,0,0,0,0,-1,0,0
"19",1,4,0,0,0,0,0,0,0,0,0,-1,0
"20",1,4,0,0,0,0,0,0,0,0,0,0,-1
"21",1,5,0,1,0,0,0,0,0,0,0,0,0
"22",1,5,1,0,0,0,1,0,0,0,0,0,0
"23",1,5,0,0,0,0,0,0,1,0,0,0,0
"24",1,5,0,0,0,0,0,0,0,1,0,0,0
"25",1,5,0,0,0,0,0,0,0,0,0,0,1
"26",1,6,0,-1,0,0,0,0,0,0,0,0,0
"27",1,6,0,0,0,0,-1,0,0,0,0,0,0
"28",1,6,0,0,0,0,0,0,-1,0,0,0,0
"29",1,6,1,0,0,0,0,0,0,-1,0,0,0
"30",1,6,0,0,0,0,0,0,0,0,0,0,-1
"31",1,7,0,0,1,0,0,0,0,0,0,0,0
"32",1,7,0,0,0,0,0,1,0,0,0,0,0
"33",1,7,0,0,0,0,0,0,1,0,0,0,0
"34",1,7,0,0,0,0,0,0,0,0,0,1,0
"35",1,7,1,0,0,0,0,0,0,0,0,0,1
"36",1,8,0,0,-1,0,0,0,0,0,0,0,0
"37",1,8,0,0,0,0,0,-1,0,0,0,0,0
"38",1,8,1,0,0,0,0,0,-1,0,0,0,0
"39",1,8,0,0,0,0,0,0,0,0,0,-1,0
"40",1,8,0,0,0,0,0,0,0,0,0,0,-1
"41",1,9,0,1,0,0,0,0,0,0,0,0,0
"42",1,9,1,0,0,1,0,0,0,0,0,0,0
"43",1,9,0,0,0,0,0,0,1,0,0,0,0
"44",1,9,0,0,0,0,0,0,0,0,1,0,0
"45",1,9,0,0,0,0,0,0,0,0,0,1,0
