sample,subsid,pid,name,id,completed,user_last_section,ip,date,time_in,time_out,user_browser,user_setid_dce1,user_language,user_combo,IMP_Order,DCE_pg1,DCE_least1,DCE_most1,DCE_pg2,DCE_least2,DCE_most2,DCE_pg3,DCE_least3,DCE_most3,DCE_pg4,DCE_least4,DCE_most4,DCE_pg5,DCE_least5,DCE_most5,DCE_pg6,DCE_least6,DCE_most6,DCE_pg7,DCE_least7,DCE_most7,DCE_pg8,DCE_least8,DCE_most8,DCE_pg9,DCE_least9,DCE_most9,DCE_pg10,DCE_least10,DCE_most10,DCEclick_1,DCEclick_2,DCEclick_3,DCEclick_4,DCEclick_5,DCEclick_6,DCEclick_7,DCEclick_8,DCEclick_9,DCEclick_10,ocean_days,rec_swim,rec_boat,rec_surf,rec_scuba,rec_powerboat,rec_recfish,rec_sightsee,rec_none,rec_other,rec_specify,jobs_comfish,jobs_aquaculture,jobs_firstnations,jobs_tourism,jobs_transport,jobs_port,jobs_govt,jobs_none,jobs_other,jobs_specify,seafood_eat,foodprovision_general,foodprovision_xx,aboriginalneeds_general,aboriginalneeds_xx,nonfood_general,nonfood_xx,carbonstorage_general,carbonstorage_xx,coastalprotection_general,coastalprotection_xx,coastallivelihood_general,coastallivelihood_xx,tourismrec_general,tourismrec_xx,icons_general,icons_xx,cleanwater_general,cleanwater_xx,biodiversity_general,biodiversity_xx,demoone_gender,demoone_education,demotwo_livedCanada,demotwo_fsa,envr_org,envr_protest,political_party,demothree_income,demothree_householdsize,demothree_age,comments
BC,122336,,English15,15,,hco_intro.php,,05/03/2014,14:36:01,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),,English,2000,54321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,410033826,,English16,16,y,hco_thankyou.php,,05/03/2014,14:41:03,14:43:03,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0,,English,2001,12345,1,3,7,2,8,10,10,7,4,5,6,10,8,9,3,6,6,2,3,3,4,4,4,5,9,9,3,7,7,8,,,,,,,,,,,dontknow,,,,,,,,1,,,,,,,,,,1,,,atleast1wk,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,noresponse,elementary,lessthan2,a1a,dontknow,dontknow,noresponse,9,1,19,test
BC,410033833,,English17,17,,hco_intro.php,,05/03/2014,15:36:30,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),,English,2002,54321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,410096949,,English18,18,,hco_intro.php,,05/03/2014,16:58:10,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),,English,2003,12345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,410052991,,English19,19,y,hco_thankyou.php,,05/03/2014,17:17:28,17:49:47,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0,,English,2004,54321,9,2,9,5,2,9,6,2,8,10,6,10,2,2,9,3,3,10,1,3,5,4,2,5,7,7,9,8,3,9,,,,,,,,,,,morethan100,1,,,,1,1,1,,,,,,,,,,,1,,,atleast1wk,5,,2,,3,,4,,5,,3,,5,,5,,5,,5,,male,graduate,morethan20,V0N,no,no,CPC,4,2,65plus,
BC,410061724,,English20,20,y,hco_thankyou.php,,05/03/2014,17:18:11,17:26:03,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; BTRS123001; GTB7.5; InfoPath.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C; .NET4.0E; OfficeLiveConnector.1.5; OfficeLivePatch.1.3; BRI/2; BOI,,English,2005,12345,6,7,6,4,2,1,7,7,9,9,2,9,3,3,10,10,7,1,2,2,1,5,2,9,8,3,1,1,7,1,,,,,,,,,,,10to29,1,,,1,,,1,,,,,,,,,,,1,,,3month,5,,5,,5,,5,,5,,5,,4,,5,,5,,5,,female,somepost,morethan20,V2C,yes,no,green,5,2,65plus,
BC,410038420,,English21,21,y,hco_thankyou.php,,05/03/2014,17:18:34,17:28:23,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,,English,2006,54321,6,2,8,10,7,10,1,7,10,3,8,10,4,2,1,9,2,9,2,2,10,8,8,1,5,2,10,7,7,9,,,,,,,,,,,morethan100,1,,,,,,,,,,,,,,,,,1,,,3month,5,,2,,4,,5,,5,,5,,3,,4,,5,,5,,male,bachelors,morethan20,V7E,no,no,liberal,4,2,55to64,
BC,410067261,,English22,22,y,hco_thankyou.php,,05/03/2014,17:19:58,17:26:45,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,,English,2007,12345,8,9,1,7,4,7,2,2,1,5,2,6,3,4,3,10,4,1,1,5,1,6,2,6,9,2,3,4,2,1,,checked,,,,,,,,,50to100,,,,,1,1,,,,,,,,,,,,1,,,3month,5,,1,,4,,3,,4,,4,,5,,5,,4,,4,,male,HS,morethan20,v9b,no,no,NDP,4,1,55to64,
BC,410018107,,English23,23,y,hco_thankyou.php,,05/03/2014,17:21:55,17:27:57,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0,,English,2008,54321,9,3,9,3,3,5,8,3,8,5,2,5,6,3,8,1,3,5,7,7,9,10,7,4,4,2,4,2,2,9,,,,,,,,,,,none,,1,,,,,,,,,,,,,,,,1,,,3month,3,,3,,5,,4,,5,,4,,3,,5,,5,,4,,female,bachelors,morethan20,V5R,no,no,dontknow,4,7,25to34,
BC,410271037,,English24,24,y,hco_thankyou.php,,05/03/2014,17:22:52,17:27:03,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0),,English,2009,12345,6,2,7,4,2,1,10,4,1,9,3,9,5,2,0,2,2,9,7,4,9,8,1,6,3,10,5,1,3,1,,,,,,,,,,,5to9,1,,,,,,,,,,,,,,,,,1,,,3month,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,male,HS,morethan20,v7s,no,no,liberal,7,2,65plus,
