"","sample","subsid","pid","name","id","completed","user_last_section","ip","date","time_in","time_out","user_browser","user_setid_dce1","user_language","user_combo","IMP_Order","DCE_pg1","DCE_least1","DCE_most1","DCE_pg2","DCE_least2","DCE_most2","DCE_pg3","DCE_least3","DCE_most3","DCE_pg4","DCE_least4","DCE_most4","DCE_pg5","DCE_least5","DCE_most5","DCE_pg6","DCE_least6","DCE_most6","DCE_pg7","DCE_least7","DCE_most7","DCE_pg8","DCE_least8","DCE_most8","DCE_pg9","DCE_least9","DCE_most9","DCE_pg10","DCE_least10","DCE_most10","DCEclick_1","DCEclick_2","DCEclick_3","DCEclick_4","DCEclick_5","DCEclick_6","DCEclick_7","DCEclick_8","DCEclick_9","DCEclick_10","ocean_days","rec_swim","rec_boat","rec_surf","rec_scuba","rec_powerboat","rec_recfish","rec_sightsee","rec_none","rec_other","rec_specify","jobs_comfish","jobs_aquaculture","jobs_firstnations","jobs_tourism","jobs_transport","jobs_port","jobs_govt","jobs_none","jobs_other","jobs_specify","seafood_eat","foodprovision_general","foodprovision_xx","aboriginalneeds_general","aboriginalneeds_xx","nonfood_general","nonfood_xx","carbonstorage_general","carbonstorage_xx","coastalprotection_general","coastalprotection_xx","coastallivelihood_general","coastallivelihood_xx","tourismrec_general","tourismrec_xx","icons_general","icons_xx","cleanwater_general","cleanwater_xx","biodiversity_general","biodiversity_xx","demoone_gender","demoone_education","demotwo_livedCanada","demotwo_fsa","envr_org","envr_protest","political_party","demothree_income","demothree_householdsize","demothree_age","comments","zeros","NAs","data2$repeated"
"2","BC","410033826",NA,"English16",16,"y","hco_thankyou.php",NA,"05/03/2014","14:41:03","14:43:03","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"English",2001,12345,1,3,7,2,8,10,10,7,4,5,6,10,8,9,3,6,6,2,3,3,4,4,4,5,9,9,3,7,7,8,"","","","","","","","","","","dontknow",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,"noresponse","elementary","lessthan2","a1a","dontknow","dontknow","noresponse",9,"1","19","test",0,0,0
"5","BC","410052991",NA,"English19",19,"y","hco_thankyou.php",NA,"05/03/2014","17:17:28","17:49:47","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"English",2004,54321,9,2,9,5,2,9,6,2,8,10,6,10,2,2,9,3,3,10,1,3,5,4,2,5,7,7,9,8,3,9,"","","","","","","","","","","morethan100",1,NA,NA,NA,1,1,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,2,NA,3,NA,4,NA,5,NA,3,NA,5,NA,5,NA,5,NA,5,NA,"male","graduate","morethan20","V0N","no","no","CPC",4,"2","65plus","",0,0,0
"6","BC","410061724",NA,"English20",20,"y","hco_thankyou.php",NA,"05/03/2014","17:18:11","17:26:03","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; BTRS123001; GTB7.5; InfoPath.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C; .NET4.0E; OfficeLiveConnector.1.5; OfficeLivePatch.1.3; BRI/2; BOI",NA,"English",2005,12345,6,7,6,4,2,1,7,7,9,9,2,9,3,3,10,10,7,1,2,2,1,5,2,9,8,3,1,1,7,1,"","","","","","","","","","","10to29",1,NA,NA,1,NA,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,4,NA,5,NA,5,NA,5,NA,"female","somepost","morethan20","V2C","yes","no","green",5,"2","65plus","",0,0,0
"7","BC","410038420",NA,"English21",21,"y","hco_thankyou.php",NA,"05/03/2014","17:18:34","17:28:23","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",NA,"English",2006,54321,6,2,8,10,7,10,1,7,10,3,8,10,4,2,1,9,2,9,2,2,10,8,8,1,5,2,10,7,7,9,"","","","","","","","","","","morethan100",1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",5,NA,2,NA,4,NA,5,NA,5,NA,5,NA,3,NA,4,NA,5,NA,5,NA,"male","bachelors","morethan20","V7E","no","no","liberal",4,"2","55to64","",0,0,1
"8","BC","410067261",NA,"English22",22,"y","hco_thankyou.php",NA,"05/03/2014","17:19:58","17:26:45","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",NA,"English",2007,12345,8,9,1,7,4,7,2,2,1,5,2,6,3,4,3,10,4,1,1,5,1,6,2,6,9,2,3,4,2,1,"","checked","","","","","","","","","50to100",NA,NA,NA,NA,1,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",5,NA,1,NA,4,NA,3,NA,4,NA,4,NA,5,NA,5,NA,4,NA,4,NA,"male","HS","morethan20","v9b","no","no","NDP",4,"1","55to64","",0,0,0
"9","BC","410018107",NA,"English23",23,"y","hco_thankyou.php",NA,"05/03/2014","17:21:55","17:27:57","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"English",2008,54321,9,3,9,3,3,5,8,3,8,5,2,5,6,3,8,1,3,5,7,7,9,10,7,4,4,2,4,2,2,9,"","","","","","","","","","","none",NA,1,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",3,NA,3,NA,5,NA,4,NA,5,NA,4,NA,3,NA,5,NA,5,NA,4,NA,"female","bachelors","morethan20","V5R","no","no","dontknow",4,"7","25to34","",0,0,0
"10","BC","410271037",NA,"English24",24,"y","hco_thankyou.php",NA,"05/03/2014","17:22:52","17:27:03","Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)",NA,"English",2009,12345,6,2,7,4,2,1,10,4,1,9,3,9,5,2,0,2,2,9,7,4,9,8,1,6,3,10,5,1,3,1,"","","","","","","","","","","5to9",1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,"male","HS","morethan20","v7s","no","no","liberal",7,"2","65plus","",1,0,0
"11","BC","410194365",NA,"English25",25,"y","hco_thankyou.php",NA,"05/03/2014","17:23:51","17:33:09","Mozilla/5.0 (iPad; CPU OS 7_0_6 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B651 Safari/9537.53",NA,"English",2010,54321,9,7,9,5,2,5,4,2,5,2,2,9,8,3,9,3,3,5,6,7,6,10,7,6,7,7,9,1,7,5,"","","","","","","","","","","10to29",1,1,NA,1,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,4,NA,4,NA,5,NA,5,NA,4,NA,4,NA,5,NA,5,NA,5,NA,"male","somepost","morethan20","V1V","no","no","noparty",6,"4","65plus","",0,0,0
"12","BC","410195914",NA,"English26",26,"y","hco_thankyou.php",NA,"05/03/2014","17:24:03","17:34:22","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",NA,"English",2011,12345,7,7,9,2,2,9,5,2,9,4,6,5,6,3,8,1,7,5,8,6,9,10,7,4,3,3,8,9,7,9,"","","","","","","","","","","10to29",NA,NA,NA,NA,NA,NA,NA,NA,NA,"cruising on cruise ship",NA,NA,NA,NA,NA,NA,NA,1,NA,"","7to11yr",4,NA,3,NA,3,NA,3,NA,4,NA,3,NA,3,NA,4,NA,5,NA,4,NA,"female","HS","morethan20","v1j","no","no","noresponse",2,"3","55to64","",0,0,0
"13","BC","410272395",NA,"English27",27,"y","hco_thankyou.php",NA,"05/03/2014","17:25:25","18:03:59","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",NA,"English",2012,54321,2,2,9,8,3,9,9,2,4,3,3,4,4,2,4,7,7,9,5,2,10,1,3,10,6,2,8,10,7,10,"","","","","","","","","","","10to29",NA,NA,NA,NA,1,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,1,NA,5,NA,5,NA,5,NA,4,NA,5,NA,5,NA,5,NA,5,NA,"male","bachelors","morethan20","V3B","yes","no","green",8,"2","45to54","",0,0,0
