"","sample","subsid","pid","name","id","completed","user_last_section","ip","date","time_in","time_out","user_browser","user_setid_dce1","user_language","user_combo","IMP_Order","DCE_pg1","DCE_least1","DCE_most1","DCE_pg2","DCE_least2","DCE_most2","DCE_pg3","DCE_least3","DCE_most3","DCE_pg4","DCE_least4","DCE_most4","DCE_pg5","DCE_least5","DCE_most5","DCE_pg6","DCE_least6","DCE_most6","DCE_pg7","DCE_least7","DCE_most7","DCE_pg8","DCE_least8","DCE_most8","DCE_pg9","DCE_least9","DCE_most9","DCE_pg10","DCE_least10","DCE_most10","DCEclick_1","DCEclick_2","DCEclick_3","DCEclick_4","DCEclick_5","DCEclick_6","DCEclick_7","DCEclick_8","DCEclick_9","DCEclick_10","ocean_days","rec_swim","rec_boat","rec_surf","rec_scuba","rec_powerboat","rec_recfish","rec_sightsee","rec_none","rec_other","rec_specify","jobs_comfish","jobs_aquaculture","jobs_firstnations","jobs_tourism","jobs_transport","jobs_port","jobs_govt","jobs_none","jobs_other","jobs_specify","seafood_eat","foodprovision_general","foodprovision_xx","aboriginalneeds_general","aboriginalneeds_xx","nonfood_general","nonfood_xx","carbonstorage_general","carbonstorage_xx","coastalprotection_general","coastalprotection_xx","coastallivelihood_general","coastallivelihood_xx","tourismrec_general","tourismrec_xx","icons_general","icons_xx","cleanwater_general","cleanwater_xx","biodiversity_general","biodiversity_xx","demoone_gender","demoone_education","demotwo_livedCanada","demotwo_fsa","envr_org","envr_protest","political_party","demothree_income","demothree_householdsize","demothree_age","comments"
"3","QC",410057654,NA,"FRENCH10554",10554,"y","hco_thankyou.php",NA,"04/03/2014","22:27:27","22:34:47","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0; BOIE9;FRCA)",NA,"FRENCH",1002,12345,9,7,4,2,1,8,3,3,8,7,7,9,10,7,4,5,6,5,8,3,8,6,7,8,1,3,5,4,1,4,"","","","","","","","","","","none",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","7to11yr",5,NA,4,NA,5,NA,5,NA,5,NA,3,NA,3,NA,5,NA,5,NA,5,NA,"female","HS","","G0W","dontknow","yes","noparty",1,1,"55to64",""
"4","QC",410338436,NA,"FRENCH10555",10555,"y","hco_thankyou.php",NA,"04/03/2014","22:34:27","22:41:42","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",NA,"FRENCH",1003,54321,4,2,4,5,2,9,2,2,9,1,7,5,8,3,9,3,3,5,10,7,4,9,2,9,6,2,8,7,7,9,"","","","","","","","","","","10to29",NA,NA,NA,NA,NA,NA,NA,NA,1,"Croisière",NA,NA,NA,NA,NA,NA,NA,1,NA,"","7to11yr",5,NA,5,NA,3,NA,5,NA,5,NA,4,NA,4,NA,5,NA,5,NA,5,NA,"male","HS","morethan20","J9X","no","no","dontknow",9,2,"45to54","Protégez notre environnement bleu est très important aujourd'hui et pour les années à venir."
"5","QC",410290469,NA,"FRENCH10556",10556,"y","hco_thankyou.php",NA,"04/03/2014","22:38:05","22:48:08","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.74.9 (KHTML, like Gecko) Version/6.1.2 Safari/537.74.9",NA,"FRENCH",1004,12345,5,6,9,4,6,4,6,7,8,8,6,9,2,1,9,10,7,4,9,3,9,1,3,10,7,7,9,3,3,10,"","","","","","","","","","","lessthan5",NA,NA,NA,NA,1,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",5,NA,5,NA,4,NA,4,NA,4,NA,5,NA,5,NA,5,NA,5,NA,5,NA,"female","graduate","6to10","J3L3P9","no","dontknow","noparty",9,2,"35to44",""
"6","QC",410338883,NA,"FRENCH10557",10557,"y","hco_thankyou.php",NA,"04/03/2014","22:38:22","22:48:46","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",NA,"FRENCH",1005,54321,7,8,4,6,2,6,1,3,1,5,2,6,10,7,1,2,2,1,3,3,4,4,2,6,9,2,4,8,8,6,"","","","","","","checked","","","","5to9",1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,2,NA,3,NA,5,NA,4,NA,4,NA,3,NA,3,NA,4,NA,4,NA,"male","graduate","morethan20","J3G","no","no","liberal",8,2,"65plus",""
"7","QC",410022398,NA,"FRENCH10558",10558,"y","hco_thankyou.php",NA,"04/03/2014","22:38:38","22:49:26","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",NA,"FRENCH",1006,12345,7,5,9,8,8,9,5,2,9,4,2,1,1,7,1,3,5,4,6,8,6,9,7,9,10,7,1,2,8,1,"","","","","","","","","checked","","none",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","7to11yr",4,NA,3,NA,4,NA,4,NA,4,NA,4,NA,3,NA,4,NA,5,NA,5,NA,"male","HS","morethan20","j0k","no","no","NDP",2,2,"65plus",""
"8","QC",410341394,NA,"FRENCH10559",10559,"y","hco_thankyou.php",NA,"04/03/2014","22:40:56","22:53:30","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; NP06; EIE10;ENUSWOL; rv:11.0) like Gecko",NA,"FRENCH",1007,54321,2,2,9,8,6,9,4,2,5,7,4,5,5,2,10,6,2,3,10,4,10,9,2,9,3,4,10,1,3,10,"","","","","","","","","","","30to49",1,1,NA,NA,1,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,3,NA,3,NA,5,NA,5,NA,4,NA,5,NA,5,NA,5,NA,5,NA,"female","bachelors","morethan20","g2g","yes","yes","NDP",4,1,"55to64","J'espère que le gouvernement canadien sera plus sensible à la santé des milieux marins et océaniques. c'est important pour les générations futures et pour la planète. Au Canada, c'est un luxe d'être entouré de 3 océans...en plus, j'ai la chance de vivre en bordure du Saint-Laurent pollué par les déchets industriels sans compter la source les fabuleux Grands Lacs!!! C'est un dossier urgent!"
"9","QC",410021865,NA,"FRENCH10560",10560,"y","hco_thankyou.php",NA,"04/03/2014","22:40:58","22:45:59","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"FRENCH",1008,12345,1,7,1,3,4,8,6,7,8,9,7,9,2,2,9,7,7,9,8,6,9,5,6,9,10,7,1,4,2,1,"","","","","","","","","","","5to9",1,NA,NA,NA,1,1,NA,NA,NA,"",NA,NA,1,NA,NA,NA,NA,NA,NA,"","1to2month",4,NA,3,NA,4,NA,4,NA,4,NA,4,NA,3,NA,4,NA,5,NA,4,NA,"male","bachelors","morethan20","J0L","no","no","Bloc",5,3,"45to54",""
"10","QC",410179756,NA,"FRENCH10561",10561,"y","hco_thankyou.php",NA,"04/03/2014","22:42:54","22:51:09","Mozilla/5.0 (iPad; CPU OS 7_0_6 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B651 Safari/9537.53",NA,"FRENCH",1009,54321,7,4,9,10,4,6,1,3,5,9,2,9,4,4,6,6,2,6,3,4,5,2,2,9,5,2,9,8,3,9,"","","","","","","","","","","5to9",NA,NA,NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",4,NA,2,NA,3,NA,3,NA,5,NA,5,NA,4,NA,4,NA,5,NA,5,NA,"male","bachelors","morethan20","J3y","no","no","noparty",5,4,"45to54",""
"12","QC",410331597,NA,"FRENCH10563",10563,"y","hco_thankyou.php",NA,"04/03/2014","22:50:29","23:01:33","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"FRENCH",1011,54321,1,7,3,7,9,5,8,8,9,2,8,10,4,1,2,5,2,10,3,8,10,6,2,6,9,2,4,10,7,10,"","","","","","","","","","","10to29",NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","7to11yr",5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,4,NA,5,NA,5,NA,"male","bachelors","","j7n","no","yes","liberal",5,2,"65plus",""
"14","QC",410155925,NA,"FRENCH10565",10565,"y","hco_thankyou.php",NA,"04/03/2014","23:02:13","23:13:15","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; BTRS100158; GTB7.5; InfoPath.1; AskTbORJ/5.15.23.36191; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C; .NET4.0E)",NA,"FRENCH",1013,54321,8,8,9,2,2,9,3,8,3,5,2,9,6,8,3,1,7,1,4,6,1,10,7,1,7,8,9,9,7,9,"","","","","","","","","","","5to9",1,NA,NA,NA,NA,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2yr",5,NA,3,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,"male","HS","morethan20","j1t","no","yes","dontknow",9,2,"55to64",""
"15","QC",410295879,NA,"FRENCH10566",10566,"y","hco_thankyou.php",NA,"04/03/2014","23:02:56","23:12:33","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",NA,"FRENCH",1014,12345,10,4,1,9,4,9,4,4,1,7,7,5,5,2,5,2,2,1,3,3,5,8,3,1,1,3,5,6,3,6,"","","","","","","","","","","lessthan5",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",5,NA,3,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,"female","HS","morethan20","g2g","no","no","noresponse",9,2,"55to64",""
"17","QC",410280977,NA,"FRENCH10568",10568,"y","hco_thankyou.php",NA,"04/03/2014","23:05:47","23:18:15","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",NA,"FRENCH",1016,12345,3,3,8,5,2,9,10,1,6,9,7,9,4,2,6,1,1,7,6,3,8,7,4,9,8,3,9,2,1,9,"","","","","","","","","","","none",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2yr",2,NA,2,NA,2,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,"male","HS","morethan20","j3r","no","no","dontknow",3,2,"55to64",""
"18","QC",410329960,NA,"FRENCH10569",10569,"y","hco_thankyou.php",NA,"04/03/2014","23:16:12","23:25:30","Mozilla/5.0 (Windows NT 5.1; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"FRENCH",1017,54321,3,3,5,4,2,4,2,2,9,7,7,4,10,7,4,8,3,9,5,2,9,6,2,8,1,3,10,9,2,4,"","","","","","","","","","","5to9",1,NA,NA,1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,"male","college","morethan20","G6P","no","no","Bloc",4,1,"55to64",""
